uid	disease_name	geo_id	cell_type
636	prolactinoma	GSE36314	human prolactinomas
638	prostate cancer	GSE3868	Normal prostate epithelial cells and Primary epithelial cell culture (Gleason 6 score tumor)
639	prostate cancer	GSE3868	Normal prostate epithelial cells and Primary epithelial cell culture (Gleason 7 score tumor)
643	Barrett's esophagus	GSE1420	Esophagus epithelium
644	esophagus adenocarcinoma	GSE1420	Esophagus epithelium
65	Cystic Fibrosis	GSE765	Intestinal Epithelium
650	colon adenoma	GSE422	Intestinal epithelium
651	colon carcinoma	GSE422	Intestinal epithelium
652	papillary thyroid carcinoma	GSE54958	Papillary thyroid carcinoma tumors (without a BRAF mutation) and Normal thyroid specimens
653	papillary thyroid carcinoma	GSE54958	Papillary thyroid carcinoma tumors (with a BRAF mutation) and Normal thyroid specimens
654	anaplastic thyroid carcinoma	GSE65144	Anaplastic thyroid carcinoma tissue and Normal thyroid tissue
655	in situ carcinoma	GSE64756	Normal urothelium cells and CIS cells
656	hepatocellular carcinoma	GSE60502	Hepatocellular carcinoma and Adjacent non-tumorous liver tissues
657	skin squamous cell carcinoma	GSE45164	Skin from SCCs and Normal human epidermis
658	esophagus squamous cell carcinoma	GSE63941	KYSE human esophageal squamous cell carcinoma cell line and Normal esophageal tissue
659	esophagus squamous cell carcinoma	GSE63941	TE human esophageal squamous cell carcinoma cell line and Normal esophageal tissue
66	Lung transplant rejection	GSE2018	Lung Tissue
660	hepatocellular carcinoma	GSE57957	Tumor tissues and Adjacent non-tumorous tissues of Hepatocellular Carcinoma
661	colon cancer	GSE63032	Whole heart (myocardium) from colon cancer bearing mice and non-tumor bearing mice
662	colon cancer	GSE63032	Skeletal muscle (whole gastrocnemius muscle) from colon cancer bearing mice and non-tumor bearing mice
663	hepatocellular carcinoma	GSE39791	HCC tumor and matched non-tumor surrounding tissues
664	renal cell carcinoma	GSE38424	Blood myelomonocytic cells from RCC and Healthy blood myelomonocytic cells
665	Neurofibromatosis	GSE1482	hippocampus
666	neurofibromatosis	GSE1482	Hippocampus
667	Neurofibromatosis	GSE1482	Hippocampus
668	Neurofibromatosis	GSE1482	Hippocampus
669	Neurofibromatosis	GSE1482	Hippocampus
67	Lung Injury	GSE1541	Lung Tissue
670	neurofibromatosis	GSE29343	skeletal muscle (triceps)
671	Huntington's disease	GSE24250	whole blood, female
672	facioscapulohumeral muscular dystrophy	GSE36398	bicep
673	facioscapulohumeral muscular dystrophy	GSE36398	deltoid
674	Duchenne muscular dystrophy	GSE6011	quadriceps
675	Emery-Dreifuss muscular dystrophy	GSE6399	whole heart
676	Emery-Dreifuss muscular dystrophy, autosomal dominant form	GSE8000	whole heart
677	Emery-Dreifuss muscular dystrophy, autosomal recessive form	GSE8000	whole heart
678	dilated cardiomyopathy	GSE42955	heart, left ventricle apex
679	amyotrophic lateral sclerosis	GSE10953	motor neurons, 60 days old
680	amyotrophic lateral sclerosis	GSE10953	motor neurons, 90 days old
681	amyotrophic lateral sclerosis	GSE10953	motor neurons, 120 days old
682	amyotrophic lateral sclerosis	GSE7493	ventral spinal cord, motor neurons
683	amyotrophic lateral sclerosis	GSE3343	spinal cord, 10 weeks old
684	diffuse large B-cell lymphoma	GSE6136	normal resting B cell
685	amyotrophic lateral sclerosis	GSE3343	ocular motor neurons, 10 weeks old
686	diffuse large B-cell lymphoma	GSE6136	marginal lymphoma, BRD2 transgenic
687	diffuse large B-cell lymphoma	GSE6136	transitional lymphoma, BRD2 transgenic
688	diffuse large B-cell lymphoma	GSE6136	aggressive lymphoma, BRD2 trangenic
689	discoid lupus erythematosus	GSE52471	skin
690	psoriasis	GSE52471	skin
691	systemic lupus erythematosus	GSE10325	CD33+ myeloid cells
692	systemic lupus erythematosus	GSE10325	CD4+ T cells
693	systemic lupus erythematosus	GSE10325	CD19+ B cells
694	Wolfram syndrome	GSE15293	Temporal Lobes
695	Wolfram syndrome	GSE15293	Temporal Lobes
696	psoriatic arthritis	GSE61281	Whole blood
697	psoriasis	GSE61281	Whole blood (Cutaneous Psoriasis)
698	pancreatic ductal adenocarcinoma	GSE61412	Pancreas (Advanced stage of murine PDAC and Control pancreas)
699	pancreatic ductal adenocarcinoma	GSE53659	Pancreatic tumor cells (bitransgenic Pdx1-cre/Kras*A MICE) and Pancreatic cells (WT MICE)
7	Diabetic Neuropathy	GSE11343	Sciatic Nerve
70	Hypoxia	GSE3195	Fibroblast
702	Huntington's disease	GSE3621	Brain
703	Huntington's disease	GSE3621	Brain
704	Huntington's disease	GSE3621	Brain
705	dermatomyositis	GSE48280	Pathological skeletal muscle fibers
706	inclusion body myositis	GSE48280	Pathological skeletal muscle fibers
707	multiple myeloma	GSE36474	Bone marrow mesenchymal stromal cells
708	sarcoidosis	GSE19314	Peripheral blood mononuclear cells
709	adrenoleukodystrophy	GSE34308	Primary dermal fibroblasts (Childhood cerebral adrenoleukodystrophy)
710	ulcerative colitis	GSE22619	Intestinal biopsies
711	epidermolysis bullosa simplex	GSE28315	Epidermal punch biopsies
712	asthma	GSE31773	Circulating CD4+ T-cells (severe asthma)
713	asthma	GSE31773	circulating CD4+ T-cells (non-severe asthma)
714	asthma	GSE31773	Circulating CD8+ T-cells (severe asthma)
715	asthma	GSE31773	Circulating CD8+ T-cells (non-severe asthma)
716	allergic asthma	GSE41649	Bronchial biopsies
717	Huntington's disease	GSE9038	striatum
718	Huntington's disease	GSE9038	cerebellum
719	Huntington's disease	GSE26001	embryonic stem
72	Duchenne muscular dystrophy (DMD)	GSE1026	Muscle - Striated (Skeletal) - Diaphragm (MMHCC)
720	Huntington's disease	GSE26001	embryonic stem
721	Huntington's disease	GSE5786	striatum
722	Huntington's disease	GSE3248	cerebellum
723	Huntington's disease	GSE3248	cerebellum
724	Huntington's disease	GSE3248	cerebellum
725	Huntington's disease	GSE3248	cerebellum
726	Huntington's disease	GSE3248	cerebellum
727	Huntington's disease	GSE3248	cerebellum
728	Huntington's disease	GSE3248	cerebellum
729	asthma	GSE16032	PBMC
730	basal cell carcinoma	GSE58894	Mouse epidermis (GNAS KO Skin)
731	adenosquamous cell lung carcinoma	GSE51852	Primary lung tumor and Normal lung
732	lung large cell carcinoma	GSE51852	Primary lung tumor and Normal lung
733	large cell neuroendocrine carcinoma	GSE51852	Primary lung tumor and Normal lung
734	lung squamous cell carcinoma	GSE51852	Primary lung tumor and Normal lung
735	hepatocellular carcinoma	GSE58208	Peripheral blood mononuclear cell
736	hepatitis C virus related hepatocellular carcinoma	GSE58208	Peripheral blood mononuclear cells
737	multiple sclerosis	GSE38010	brain lesion (MS after demyelination - active inflammation)
738	multiple sclerosis	GSE38010	brain lesion (MS after inflammation - late stage)
739	lupus erythematosus	GSE30153	Peripheral blood B cells (inactive lupus)
74	Leukemia, Chronic T-Cell	GSE5788	T lymphocyte
740	Parkinson's disease	GSE19587	DMNV (dorsal motor nucleus of the vagus)
741	Parkinson's disease	GSE19587	ION (inferior olivary nucleus)
742	multiple sclerosis	GSE26484	Peripheral blood cells (with low serum levels of transmembrane-type semaphorin Sema4A)
743	multiple sclerosis	GSE21942	peripheral blood mononuclear cells
744	intracranial aneurysm	GSE26969	cerebral artery
745	Chronic Lymphocytic Leukemia (Chronic B-lymphocytic leukemia)	GSE26725	Peripheral blood
746	multiple sclerosis	GSE23832	Peripheral blood mononuclear cells
747	myelodysplastic syndrome	GSE19429	CD34+ hematopoietic stem cells (refractory anemia)
748	myelodysplastic syndrome	GSE19429	CD34+ hematopoietic stem cells (refractory anemia with excess blasts 1)
749	myelodysplastic syndrome	GSE19429	CD34+ hematopoietic stem cells (refractory anemia with excess blasts 2)
75	Heart Injury	GSE4710	Myocardial tissue
750	myelodysplastic syndrome	GSE19429	CD34+ hematopoietic stem cells (refractory anemia with ringed sideroblasts)
751	osteoarthritis	GSE16464	Hyaff-11 scaffold culture
752	osteoarthritis	GSE16464	chondrocytes monolayer culture
753	asthma	GSE18965	Airway epithelial cells
754	psoriasis	GSE14905	Non-lesional skin
755	low-grade serous ovarian carcinomas	GSE56443	low-grade serous ovarian carcinomas (tumors from patients with matched border control)
757	Crohn's disease	GSE6731	Colon
758	Crohn's disease	GSE6731	Colon
759	ulcerative colitis	GSE6731	Colon
76	Gastrointestinal stromal tumor	GSE15966	Gastric Tissue
760	ulcerative colitis	GSE6731	Colon
761	colitis	GSE6731	Colon
762	ulcerative colitis	GSE3365	PBMC (peripheral blood mononuclear cells)
763	colorectal cancer	GSE1323	primary tumor colon cancer cell line (SW480) vs  isogenic metastatic colon cancer cell line (SW620)
764	pulmonary sarcoidosis	GSE19976	human lung tissue
765	pulmonary sarcoidosis	GSE19976	lung tissue
766	diabetes mellitus type 2	GSE12643	myotubes
767	schizophrenia	GSE12679	Endothelial cells - male
768	schizophrenia	GSE12679	Neurons - male
769	schizophrenia	GSE12679	Neurons - female
77	Atherosclerosis	GSE1560	Aorta Smooth Muscle Tissue
770	bipolar disorder	GSE12679	Neurons - male
771	juvenile dermatomyositis	GSE11971	Skeletal muscle biopsies - long duration
772	juvenile dermatomyositis	GSE11971	Skeletal muscle biopsies - short duration
773	familial combined hyperlipidemia	GSE11393	Peripheral blood monocytes
774	nasopharynx carcinoma	GSE12452	Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T1N0
775	nasopharynx carcinoma	GSE12452	Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T1N1
776	nasopharynx carcinoma	GSE12452	Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T2N1
777	nasopharynx carcinoma	GSE12452	Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T2N2
778	nasopharynx carcinoma	GSE12452	Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T3N2
779	rheumatoid arthritis	GSE10500	Synovial fluid macrophages
78	Nemaline Myopathy	GSE3384	Extensor digitorum longus muscle
780	cardiomyopathy	GSE9128	Peripheral blood mononuclear cells (non-ischemic cardiomyopathy)
781	cardiomyopathy	GSE9128	Peripheral blood mononuclear cells (ischemic cardiomyopathy)
782	acute myeloid leukemia	GSE9476	Bone marrow
783	acute myeloid leukemia	GSE9476	Peripheral blood
784	Waldenstrom Macroglobulinemia	GSE6691	B lymphocytes
785	Waldenstrom Macroglobulinemia	GSE6691	Plasma cells
786	chronic lymphocytic leukemia	GSE6691	B lymphocytes
787	multiple myeloma	GSE6691	Plasma cells
788	Parkinson's disease	GSE6613	Whole blood
79	Cardiomyopathy	GSE1869	Myocardial tissue
791	anemia	GSE4619	CD34+ cells (refractory anemia)
792	anemia	GSE4619	CD34+ cells (refractory anemia with ringed sideroblasts)
793	anemia	GSE4619	CD34+ cells (refractory anemia with excess blasts)
794	Crohn's disease	GSE3365	Peripheral blood mononuclear cells
795	Huntington's disease	GSE1751	Peripheral blood expression profile - symptomatic patients (HG-U133A)
796	Huntington's disease	GSE1751	Peripheral blood expression profile - presymptomatic patients (HG-U133A)
797	polycystic ovary syndrome	GSE34526	Granulosa cells
798	pancreatic cancer	GSE23952	PANC-1 PANCREATIC ADENOCARCINOMA CELL LINE
8	Kidney disorder associated with type 2 diabetes mellitus	GSE2557	Mesangial cell
800	colitis	GSE34874	Colon (DSS - induced colitis)
801	acute myocarditis	GSE35182	Heart (from CVB3-infected males - day 10 postinfection)
802	acute myocarditis	GSE35182	Heart (from CVB3-infected females - day 10 postinfection)
803	precursor B lymphoblastic lymphoma/leukemia	GSE29639	AT2 E/R positive BCP ALL cell line (following E/R -ETV6/RUNX1- knockdown)
804	Epilepsy	GSE2880	brain
805	Diabetes	GSE31150	beta cells of pancreas
806	polycystic ovary syndrome	GSE48301	endometrial cells
807	Diabetes and Obesity	GSE54917	Skeletal Muscle
808	nasopharynx carcinoma	GSE13597	nasopharynx
809	fragile X syndrome	GSE7329	lymphoblastoid cells
810	ulcerative colitis	GSE38713	Intestinal mucosa
812	myelodysplastic syndrome	GSE19429	HSC cells
813	psoriasis	GSE53431	Epidermis
815	idiopathic urticaria	GSE57178	Skin
816	systemic lupus erythematosus	GSE61635	Connective Tissue in Joints
817	peripartum cardiomyopathy	GSE42955	Left Ventricle Apex Tissue
818	polycystic ovary syndrome	GSE48301	endometrial tissue
819	psoriasis	GSE27628	Tail skin ( K14-AREG psoriasis model)
82	Sendai virus infection	GSE10211	Tracheal epithelium
820	psoriasis	GSE27628	Ear Skin ( K14-AREG psoriasis model)
821	psoriasis	GSE27628	Back Skin (K5-Stat3C psoriasis model)
822	psoriasis	GSE27628	Back Skin (K5-TGFbeta1 psoriasis model)
823	psoriasis	GSE27628	Back Skin (K5-Tie2 psoriasis model)
824	psoriasis	GSE27628	Back Skin ( imiquimod -IMQ- psoriasis model)
825	polycystic ovary syndrome	GSE10946	Cumulus cells cultured (Lean patients)
826	polycystic ovary syndrome	GSE10946	Cumulus cells cultured (Obese patients)
827	asthma	GSE43696	Bronchial epithelial cells - Female - Mild asthma
828	asthma	GSE43696	Bronchial epithelial cells - Female - Severe asthma
829	asthma	GSE43696	Bronchial epithelial cells - Male - Mild asthma
83	Lung transplant rejection	GSE3418	Trachea
830	asthma	GSE43696	Bronchial epithelial cells - Male - Severe asthma
831	pulmonary tuberculosis	GSE48027	Lung (from B6D2F1 females) - 42 days post infection
832	pulmonary tuberculosis	GSE48027	Lung (from B6D2F1 females) - 63 days post infection
833	cystic fibrosis	GSE15568	Rectal mucosal epithelia (CFTR D508 Mutation)
834	prostate cancer	GSE55945	Radical prostatectomy tissue samples (TMPRSS2:ERG gene fusion POSITIVE) and Benign prostate tissue
835	prostate cancer	GSE55945	Radical prostatectomy tissue samples (TMPRSS2:ERG gene fusion NEGATIVE) and Benign prostate tissue
836	psoriasis	GSE32407	Non-lesional (NL) Skin
837	psoriasis	GSE13355	Non-lesional (NL) Skin - (Uninvolved samples)
838	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IA-G1
839	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IA-G2
840	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IA-G3
841	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IB-G1
842	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IB-G2
843	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IB-G3
844	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IC-G1
845	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IC-G2
846	endometrial cancer	GSE17025	Uterine tumors (endometrioid histologic subtype) - Stage-Grade:IC-G3
847	endometrial cancer	GSE17025	Uterine tumors (papillary serous histologic subtype) - Stage-Grade:IA-G2
848	endometrial cancer	GSE17025	Uterine tumors (papillary serous histologic subtype) - Stage-Grade:IA-G3
849	endometrial cancer	GSE17025	Uterine tumors (papillary serous histologic subtype) - Stage-Grade:IB-G3
85	Influenza	GSE3203	B Cell Lymphocyte
850	idiopathic pulmonary fibrosis	GSE44723	Lung fibroblasts (Rapid progressing fibrosis)
851	idiopathic pulmonary fibrosis	GSE44723	Lung fibroblasts (Slow progressing fibrosis)
852	schizophrenia	GSE17612	Anterior prefrontal cortex - postmortem - Female
853	schizophrenia	GSE17612	Anterior prefrontal cortex - postmortem - Male
854	schizophrenia	GSE21935	Superior temporal cortex - postmortem - Female
855	schizophrenia	GSE21935	Superior temporal cortex - postmortem - Male
856	Ischemic stroke	GSE22255	Peripheral blood mononuclear cells (collected from IS patients at least 6 months after the first and only stroke event)
857	atopic dermatitis	GSE32924	Skin (LESIONAL atopic dermatitis (AL) skin lesions)
858	oligodendroglioma	GSE15824	Brain tumor tissue samples of human gliomas and normal brain - Grade:OGII - Primary tumor
859	oligodendroglioma	GSE15824	Brain tumor tissue samples of human gliomas and normal brain - Grade:OGIII - Primary tumor
860	astrocytoma	GSE15824	Brain tumor tissue samples of human gliomas and normal brain - Grade:AII - Primary tumor
861	astrocytoma	GSE15824	Brain tumor tissue samples of human gliomas and normal brain - Grade:AIII - Primary tumor
862	glioblastoma	GSE15824	Brain tumor tissue samples of human gliomas and normal brain - Grade:IV - Primary tumor
863	glioblastoma	GSE15824	Brain tumor tissue samples of human gliomas and normal brain - Grade:IV - Secundary tumor
864	adrenoleukodystrophy	GSE34309	Dermal fibroblast (from childhood cerebral adrenoleukodystrophy (CCALD) patient) and healthy fibroblasts
865	adrenoleukodystrophy	GSE34309	Induced pluripotent stem cells -iPSC- (derived from childhood cerebral adrenoleukodystrophy patient dermal fibroblasts) and healthy fibroblasts
866	prostate cancer	GSE30174	Peripheral white blood cells
867	idiopathic pulmonary fibrosis	GSE24206	Whole lung - EARLY idiopathic pulmonary fibrosis - male
868	idiopathic pulmonary fibrosis	GSE24206	Lung - UPPER LOBE - ADVANCED idiopathic pulmonary fibrosis - Male
869	idiopathic pulmonary fibrosis	GSE24206	Lung - UPPER LOBE - ADVANCED idiopathic pulmonary fibrosis - Female
87	Alexander Disease	GSE977	CNS - Brain - Olfactory Bulb (MMHCC)
870	Pompe disease, infantile-onset form	GSE38680	Biceps biopsies
871	idiopathic pulmonary fibrosis	GSE24206	Lung - LOWER LOBE - EARLY idiopathic pulmonary fibrosis - Male
872	idiopathic pulmonary fibrosis	GSE24206	Lung - LOWER LOBE - ADVANCED idiopathic pulmonary fibrosis - Male
873	idiopathic pulmonary fibrosis	GSE24206	Lung - LOWER LOBE - ADVANCED idiopathic pulmonary fibrosis - Female
874	West Nile fever	GSE30719	Primary retinal pigment epithelial (RPE) cells
875	Rift Valley fever	GSE18064	Embryonic fibroblasts - MBT/Pas animals
876	Rift Valley fever	GSE18064	Embryonic fibroblasts - BALB/cByJ animals
877	cerebral palsy	GSE31243	Skeletal muscle - Gracilis muscle biopsies
878	cerebral palsy	GSE31243	Skeletal muscle - Semitendinosus muscle biopsies
879	relapsing-remitting multiple sclerosis	GSE16461	CD4+ T cells Lymphocytes (sorted from PBMCs from monozygotic twin pairs discordant for RRMS)
88	Cardiomyopathy	GSE5406	Myocardial tissue
880	polycystic ovary syndrome	GSE8157	Skeletal muscle (from obese women with polycystic ovary syndrome)
882	type 2 diabetes mellitus	GSE13760	Mammary arterial tissue
883	endometriosis	GSE23339	Endometrial tissue  (Endometrioma tissue and eutopic endometrium controls)
888	Sjogren's syndrome	GSE23117	Minor salivary glands - Early Sjogren's syndrome
889	Sjogren's syndrome	GSE23117	Minor salivary glands - Advanced Sjogren's syndrome
890	Sjogren's syndrome	GSE23117	Minor salivary glands - Moderate Sjogren's syndrome
891	schizophrenia	GSE25673	Induced pluripotent stem cell-derived neurons - Male
892	schizophrenia	GSE25673	Induced pluripotent stem cell-derived neurons - Female
893	type 2 diabetes mellitus	GSE23343	Percutaneous needle LIVER biopsies - (hepatokines) - Male
895	type 2 diabetes mellitus	GSE23343	Percutaneous needle LIVER biopsies - (hepatokines) - Female
9	Type 1 diabetes mellitus	GSE10586	T lymphocyte
90	Cancer of the Intestine	GSE3915	Small bowel
903	Williams-Beuren syndrome	GSE16715	Fibroblast cell lines - 3 years
904	rheumatoid arthritis	GSE15573	Peripheral blood mononuclear cells
905	nephrosclerosis	GSE20602	Glomeruli
906	atherosclerosis	GSE19286	aorta
907	familial hypercholesterolemia	GSE6088	T lymphocytes - Heterozygous FH
908	familial hypercholesterolemia	GSE6088	T lymphocytes - Homozygous FH
909	familial hypercholesterolemia	GSE6054	Monocytes - Heterozygous FH
910	familial hypercholesterolemia	GSE6054	Monocytes - Homozygous FH
911	diabetic retinopathy	GSE12610	Retina (adult CD-1 animals) - 5 weeks
912	cerebral palsy	GSE11686	Wrist muscles - Extensor
913	cerebral palsy	GSE11686	Wrist muscles - Flexor
916	pulmonary sarcoidosis	GSE16538	Lungs
917	Barrett's esophagus	GSE13083	Esophageal squamous epithelium
92	Simian Acquired Immune Deficiency Syndrome	GSE4785	T lymphocyte
93	Psoriasis vulgaris	GSE14905	Skin tissue
95	Leukemia, Acute Megakaryocytic	GSE2433	Megakaryocyte
97	Burn	GSE802	Hepatic Tissue
98	Appendicitis	GSE9579	Appendix
